Generation,Number,Broadcast,Happen_in
1,1,1997-04-01,Kanto
1,2,1997-04-08,Kanto
1,3,1997-04-15,Kanto
1,4,1997-04-22,Kanto
1,5,1997-04-29,Kanto
1,6,1997-05-06,Kanto
1,7,1997-05-13,Kanto
1,8,1997-05-20,Kanto
1,9,1997-05-27,Kanto
1,10,1997-06-03,Kanto
1,11,1997-06-10,Kanto
1,12,1997-06-17,Kanto
1,13,1997-06-24,Kanto
1,14,1997-07-01,Kanto
1,15,1997-07-08,Kanto
1,16,1997-07-15,Kanto
1,17,1997-07-22,Kanto
1,18,1997-07-29,Kanto
1,19,1997-08-05,Kanto
1,20,1997-08-12,Kanto
1,21,1997-08-19,Kanto
1,22,1997-08-26,Kanto
1,23,1997-09-02,Kanto
1,24,1997-09-09,Kanto
1,25,1997-09-16,Kanto
1,26,1997-09-23,Kanto
1,27,1997-09-30,Kanto
1,28,1997-10-07,Kanto
1,29,1997-10-14,Kanto
1,30,1997-10-21,Kanto
1,31,1997-10-28,Kanto
1,32,1997-11-04,Kanto
1,33,1997-11-11,Kanto
1,34,1997-11-18,Kanto
1,35,1997-11-25,Kanto
1,36,1997-12-02,Kanto
1,37,1997-12-09,Kanto
1,38,1997-12-16,Kanto
1,39,1998-04-16,Kanto
1,40,1998-04-16,Kanto
1,41,1998-04-23,Kanto
1,42,1998-04-30,Kanto
1,43,1998-05-07,Kanto
1,44,1998-05-14,Kanto
1,45,1998-05-21,Kanto
1,46,1998-05-28,Kanto
1,47,1998-06-04,Kanto
1,48,1998-06-11,Kanto
1,49,1998-06-18,Kanto
1,50,1998-06-25,Kanto
1,51,1998-07-02,Kanto
1,52,1998-07-16,Kanto
1,53,1998-07-23,Kanto
1,54,1998-07-30,Kanto
1,55,1998-08-06,Kanto
1,56,1998-08-09,Kanto
1,57,1998-08-09,Kanto
1,58,1998-08-13,Kanto
1,59,1998-08-20,Kanto
1,60,1998-08-27,Kanto
1,61,1998-09-03,Kanto
1,62,1998-09-10,Kanto
1,63,1998-09-17,Kanto
1,64,1998-09-24,Kanto
1,65,1998-10-05,Kanto
1,66,1998-10-05,Kanto
1,67,1998-10-08,Kanto
1,68,1998-10-15,Kanto
1,69,1998-10-22,Kanto
1,70,1998-10-29,Kanto
1,71,1998-11-05,Kanto
1,72,1998-11-12,Kanto
1,73,1998-11-19,Kanto
1,74,1998-11-26,Kanto
1,75,1998-12-03,Kanto
1,76,1998-12-10,Kanto
1,77,1998-12-17,Kanto
1,78,1998-12-24,Kanto
1,79,1999-01-01,Kanto
1,80,1999-01-07,Kanto
1,81,1999-01-14,Kanto
1,82,1999-01-21,Kanto
2,83,1999-01-28,Kanto
2,84,1999-02-04,Kanto
2,85,1999-02-11,Kanto
2,86,1999-02-18,Kanto
2,87,1999-02-25,Kanto
2,88,1999-03-04,Kanto
2,89,1999-03-11,Kanto
2,90,1999-03-18,Kanto
2,91,1999-03-25,Kanto
2,92,1999-04-01,Kanto
2,93,1999-04-08,Kanto
2,94,1999-04-15,Kanto
2,95,1999-04-22,Kanto
2,96,1999-04-29,Kanto
2,97,1999-05-06,Kanto
2,98,1999-05-13,Kanto
2,99,1999-05-20,Kanto
2,100,1999-05-27,Kanto
2,101,1999-06-03,Kanto
2,102,1999-06-10,Kanto
2,103,1999-06-17,Kanto
2,104,1999-06-24,Kanto
2,105,1999-07-01,Kanto
2,106,1999-07-15,Kanto
2,107,1999-07-22,Kanto
2,108,1999-07-29,Kanto
2,109,1999-08-05,Kanto
2,110,1999-08-12,Kanto
2,111,1999-08-19,Kanto
2,112,1999-08-26,Kanto
2,113,1999-09-02,Kanto
2,114,1999-09-09,Kanto
2,115,1999-09-16,Kanto
2,116,1999-09-23,Kanto
2,117,1999-09-30,Kanto
2,118,1999-10-07,Kanto
3,119,1999-10-14,Johto
3,120,1999-10-21,Johto
3,121,1999-10-28,Johto
3,122,1999-11-04,Johto
3,123,1999-11-11,Johto
3,124,1999-11-18,Johto
3,125,1999-11-25,Johto
3,126,1999-12-02,Johto
3,127,1999-12-09,Johto
3,128,1999-12-16,Johto
3,129,1999-12-23,Johto
3,130,2000-01-01,Johto
3,131,2000-01-06,Johto
3,132,2000-01-13,Johto
3,133,2000-01-20,Johto
3,134,2000-01-27,Johto
3,135,2000-02-03,Johto
3,136,2000-02-10,Johto
3,137,2000-02-17,Johto
3,138,2000-02-24,Johto
3,139,2000-03-02,Johto
3,140,2000-03-09,Johto
3,141,2000-03-16,Johto
3,142,2000-03-23,Johto
3,143,2000-03-30,Johto
3,144,2000-04-06,Johto
3,145,2000-04-13,Johto
3,146,2000-04-20,Johto
3,147,2000-04-27,Johto
3,148,2000-05-04,Johto
3,149,2000-05-11,Johto
3,150,2000-05-18,Johto
3,151,2000-05-25,Johto
3,152,2000-06-01,Johto
3,153,2000-06-08,Johto
3,154,2000-06-15,Johto
3,155,2000-06-22,Johto
3,156,2000-06-29,Johto
3,157,2000-07-06,Johto
3,158,2000-07-13,Johto
3,159,2000-07-27,Johto
4,160,2000-08-03,Johto
4,161,2000-08-10,Johto
4,162,2000-08-17,Johto
4,163,2000-08-24,Johto
4,164,2000-08-31,Johto
4,165,2000-09-07,Johto
4,166,2000-09-14,Johto
4,167,2000-09-21,Johto
4,168,2000-09-28,Johto
4,169,2000-10-05,Johto
4,170,2000-10-12,Johto
4,171,2000-10-19,Johto
4,172,2000-10-26,Johto
4,173,2000-11-02,Johto
4,174,2000-11-09,Johto
4,175,2000-11-16,Johto
4,176,2000-11-23,Johto
4,177,2000-11-30,Johto
4,178,2000-12-07,Johto
4,179,2000-12-14,Johto
4,180,2000-12-21,Johto
4,181,2001-01-04,Johto
4,182,2001-01-11,Johto
4,183,2001-01-18,Johto
4,184,2001-01-25,Johto
4,185,2001-02-01,Johto
4,186,2001-02-08,Johto
4,187,2001-02-15,Johto
4,188,2001-02-22,Johto
4,189,2001-03-01,Johto
4,190,2001-03-08,Johto
4,191,2001-03-15,Johto
4,192,2001-03-22,Johto
4,193,2001-03-29,Johto
4,194,2001-04-05,Johto
4,195,2001-04-12,Johto
4,196,2001-04-19,Johto
4,197,2001-04-26,Johto
4,198,2001-05-03,Johto
4,199,2001-05-10,Johto
4,200,2001-05-17,Johto
4,201,2001-05-24,Johto
4,202,2001-05-31,Johto
4,203,2001-06-07,Johto
4,204,2001-06-14,Johto
4,205,2001-06-21,Johto
4,206,2001-06-28,Johto
4,207,2001-07-05,Johto
4,208,2001-07-12,Johto
4,209,2001-07-19,Johto
4,210,2001-07-26,Johto
4,211,2001-08-02,Johto
